fid,y,x,tree_id,species,health,notes
541,42.47402964,-76.48893756,541,Northern Red Oak,5,
542,42.47396893,-76.48893532,542,Honey Locust,5,
543,42.47386343,-76.48888302,543,Littleleaf Linden,5,
544,42.47380183,-76.48877021,544,Norway Spruce,5,Cluster
545,42.47380417,-76.48872577,545,Crabapple,5,Siberian
546,42.47382407,-76.48867975,546,Arborvitae,5,
547,42.47377154,-76.48870615,547,Crabapple,5,
548,42.47374772,-76.48875253,548,Cypress,5,Sawara
549,42.47374577,-76.48878642,549,Redbud,3,
550,42.47370347,-76.48886764,550,Red Cedar,5,
551,42.47356848,-76.48875229,551,Japanese Lilac Tree,5,
552,42.4734902,-76.48865693,552,Japanese Lilac Tree,4,
553,42.47363087,-76.48862925,553,Bradford Pear,5,
554,42.47365015,-76.48857542,554,Bradford Pear,5,
555,42.4737549,-76.48850177,555,Japanese Lilac Tree,3,
556,42.47377835,-76.48853389,556,Viburnum,5,Japanese Snowball picatum
557,42.47383241,-76.48856815,557,Common Lilac,3,
558,42.47385119,-76.48858722,558,Common Boxwood,4,
559,42.47391145,-76.4884987,559,Viburnum,5,Japanese Snowball picatum
560,42.47395747,-76.48855305,560,Serviceberry,4,Downy
561,42.47394983,-76.48864901,561,Japenese Cherry,5,
562,42.47408124,-76.48859234,562,White Pine,3,
563,42.47417836,-76.48856644,563,Japanese Weeping Cherry,3,
564,42.47412981,-76.48851893,564,Quaking Aspen,5,
565,42.47414427,-76.48849638,565,Serviceberry,3,
566,42.47415637,-76.4884934,566,Serviceberry,3,
567,42.47416736,-76.48848148,567,Serviceberry,3,
568,42.47417946,-76.48847626,568,Serviceberry,3,
569,42.47423665,-76.48849698,569,Norway Spruce,4,
570,42.4742809,-76.48848006,570,Norway Spruce,3,
571,42.47438526,-76.48844622,571,White Pine,3,
572,42.47433762,-76.48850928,572,White Pine,3,
573,42.47435123,-76.48857388,573,Norway Maple,4,
574,42.47437926,-76.48860622,574,Japanese Red Maple,5,
575,42.47440382,-76.48862647,575,Norway Spruce,4,
576,42.47437685,-76.48863495,576,Blue Spruce,5,
577,42.47438504,-76.48866042,577,White Spruce,5,
578,42.47439178,-76.48870809,578,Japanese Cherry,2,
579,42.47442951,-76.48874153,579,Norway Spruce,5,
580,42.47444539,-76.4886554,580,Ninebark,5,Bush
581,42.47453813,-76.48863822,581,Fern Leaf Buckthorn,5,
582,42.47453408,-76.48866204,582,White Spruce,5,
583,42.47460321,-76.48873292,583,Burning Bush,5,
584,42.47460648,-76.48876921,584,Magnolia,5,
585,42.47462331,-76.48874018,585,Blue Spruce,5,
586,42.47463402,-76.48868932,586,Japanese Lilac Tree,5,
587,42.47459249,-76.4884895,587,Cypress,5,Sawara
588,42.47461669,-76.48847083,588,Cornelian Cherry,5,
589,42.47466887,-76.48833241,589,Cornelian Cherry,4,
590,42.47468021,-76.48826166,590,Cornelian Cherry,5,
591,42.47464618,-76.48805403,591,White Pine,5,
592,42.47472332,-76.48803557,592,Japanese Lilac Tree,5,
593,42.47470404,-76.48791099,593,Dogwood,3,Flowering
594,42.47467454,-76.48776026,594,Hawthorn,2,Cockspur
595,42.47463,-76.48773201,595,Redbud,4,
596,42.47462197,-76.4876648,596,Japanese Red Maple,4,
597,42.47448021,-76.48764032,597,Japanese Red Maple,4,
598,42.47448559,-76.48768412,598,Blue Spruce,5,
599,42.47449097,-76.48772427,599,Blue Spruce,5,
600,42.47447213,-76.48772609,600,Blue Spruce,5,
601,42.47444896,-76.48772958,601,Hawthorn,2,Black
602,42.47447213,-76.48783012,602,Norway Maple,4,
603,42.47447566,-76.4878932,603,Cornelian Cherry,5,
604,42.47449417,-76.48791099,604,Littleleaf Linden,5,
605,42.47453274,-76.48791253,605,Redbud,3,
606,42.47452987,-76.48801821,606,Redbud,4,Red leaves
607,42.4743864,-76.48798481,607,Bradford Pear,3,
608,42.47433762,-76.48792637,608,White Pine,4,
609,42.47420829,-76.48785101,609,Amur Maple,5,
610,42.47414061,-76.48794736,610,Viburnum,5,Japanese Snowball picatum
611,42.47413869,-76.48801788,611,Cypress,4,Lawson's
612,42.47425356,-76.48811975,612,White Spruce,4,
613,42.47424778,-76.48814783,613,White Spruce,5,
614,42.47432628,-76.48812106,614,White Pine,3,
615,42.47443404,-76.48809401,615,Bradford Pear,5,
616,42.474459,-76.4881663,616,White Pine,3,
617,42.47443972,-76.48824628,617,Bradford Pear,5,
618,42.47439434,-76.48820783,618,Bradford Pear,4,
619,42.47432287,-76.48820937,619,Redbud,3,
620,42.47426929,-76.48826672,620,White Pine,3,
621,42.47427667,-76.48831042,621,White Pine,4,
622,42.47424006,-76.48837086,622,White Pine,4,
623,42.47403177,-76.48821378,623,Viburnum,5,Japanese Snowball picatum
624,42.47401539,-76.48824512,624,Japanese Red Maple,5,
625,42.47400768,-76.48826602,625,Common Lilac,3,
626,42.4740019,-76.4882843,626,Redbud,4,
627,42.47376587,-76.48831857,627,Crabapple,4,
628,42.4737307,-76.48830165,628,Crabapple,4,
